"Year" "Country" "Freq"
"468" "2010" "Burundi" 29
"469" "1992" "Cambodia" 67
"470" "1994" "Cambodia" 39
"471" "1995" "Cambodia" 56
"472" "1996" "Cambodia" 33
"473" "1997" "Cambodia" 18
"474" "1998" "Cambodia" 7
"475" "1999" "Cambodia" 8
"476" "2000" "Cambodia" 4
"477" "2001" "Cambodia" 7
"478" "2002" "Cambodia" 3
"479" "2003" "Cambodia" 1
"480" "2004" "Cambodia" 0
"481" "2005" "Cambodia" 0
"482" "2006" "Cambodia" 0
"483" "2007" "Cambodia" 0
"484" "2008" "Cambodia" 2
"485" "2009" "Cambodia" 0
"486" "2010" "Cambodia" 0
"487" "1992" "Cameroon" 6
"488" "1994" "Cameroon" 6
"489" "1995" "Cameroon" 2
"490" "1996" "Cameroon" 0
"491" "1997" "Cameroon" 0
"492" "1998" "Cameroon" 1
"493" "1999" "Cameroon" 0
"494" "2000" "Cameroon" 0
"495" "2001" "Cameroon" 0
"496" "2002" "Cameroon" 0
"497" "2003" "Cameroon" 0
"498" "2004" "Cameroon" 0
"499" "2005" "Cameroon" 0
"500" "2006" "Cameroon" 0
"501" "2007" "Cameroon" 1
"502" "2008" "Cameroon" 1
"503" "2009" "Cameroon" 1
"504" "2010" "Cameroon" 3
"505" "1992" "Canada" 3
"506" "1994" "Canada" 4
"507" "1995" "Canada" 5
"508" "1996" "Canada" 1
"509" "1997" "Canada" 2
"510" "1998" "Canada" 4
"511" "1999" "Canada" 2
"512" "2000" "Canada" 5
"513" "2001" "Canada" 0
"514" "2002" "Canada" 0
"515" "2003" "Canada" 0
"516" "2004" "Canada" 2
"517" "2005" "Canada" 0
"518" "2006" "Canada" 2
"519" "2007" "Canada" 0
"520" "2008" "Canada" 5
"521" "2009" "Canada" 4
"522" "2010" "Canada" 2
"523" "1992" "Cayman Islands" 0
"524" "1994" "Cayman Islands" 1
"525" "1995" "Cayman Islands" 0
"526" "1996" "Cayman Islands" 0
"527" "1997" "Cayman Islands" 0
"528" "1998" "Cayman Islands" 0
"529" "1999" "Cayman Islands" 0
"530" "2000" "Cayman Islands" 0
"531" "2001" "Cayman Islands" 0
"532" "2002" "Cayman Islands" 0
"533" "2003" "Cayman Islands" 0
